comment,date,name,type,year
Fiesta del trabajo,"May 01, 2016",Labour Day ,holiday,
1st Sunday in May. Not a public holiday,"May 01, 2016",Mother's Day,publicholiday,
Assumption of Mary,"August 15, 2016",Assumption Day,holiday,
"Ceuta, Melilla only. Feast of Sacrifice","September 12, 2016",Aid El Kebir,regional,
Melilla only. Marks the taking of the city by Duke of Medina Sidonia in 1497,"September 17, 2016",Day of Melilla,regional,
Columbus Day,"October 12, 2016",Hispanic Day ,holiday,
,"November 01, 2016",All Saints Day ,holiday,
,"December 06, 2016",Constitution Day ,holiday,
,"December 08, 2016",Immaculate Conception Day,holiday,
,"December 25, 2016",Christmas Day ,holiday,
in lieu of Christmas Day,"December 26, 2016",Christmas Holiday,regional,
,"January 01, 2015",New Years Day,holiday,
"Technically not a national holiday, but has been declared a regional holiday in all regions","January 06, 2015",Epiphany ,holiday,
Celebrated on St. Joseph' s day,"March 19, 2015",Father's Day,publicholiday,
"Basque Country, Madrid, Melilla, Murcia, Navarra, Valenciana only","March 19, 2015",St Josephs Day,regional,
except Catalonia and Valenciana,"April 02, 2015",Maundy Thursday,regional,
Friday before Easter Sunday,"April 03, 2015",Good Friday ,holiday,
International Workers Day,"May 01, 2015",Labour Day ,holiday,
1st Sunday in May. Not a public holiday,"May 03, 2015",Mother's Day,publicholiday,
Melilla only. Nativity of the Blessed Virgin Mary,"September 08, 2015",Day of Our Lady of Victories,regional,
Melilla only. Marks the taking of the city by Duke of Medina Sidonia in 1497,"September 17, 2015",Day of Melilla,regional,
,"January 01, 2014",New Years Day,holiday,
"Technically not a national holiday, but has been declared a regional holiday in all regions.","January 06, 2014",Epiphany ,holiday,
Celebrated on St. Joseph' s day,"March 19, 2014",Father's Day,publicholiday,
"Castilla-La Mancha, Galicia, La Rioja, Madrid, Melilla, Murcia, Navarra, Valenciana only","March 19, 2014",St Josephs Day,regional,
except Catalonia,"April 17, 2014",Maundy Thursday,regional,
Friday before Easter Sunday,"April 18, 2014",Good Friday ,holiday,
Fiesta del trabajo,"May 01, 2014",Labour Day ,holiday,
1st Sunday in May. Not a public holiday.,"May 04, 2014",Mother's Day,publicholiday,
Assumption of Mary,"August 15, 2014",Assumption Day,holiday,
Melilla only. Marks the taking of the city by Duke of Medina Sidonia in 1497,"September 17, 2014",Day of Melilla,regional,
Columbus Day,"October 12, 2014",Hispanic Day ,holiday,
"Andalucía, Aragon, Castile and León,  Extremadura, Melilla only","October 13, 2014",Hispanic Day (in lieu),regional,
,"November 01, 2014",All Saints Day ,holiday,
,"December 06, 2014",Constitution Day ,holiday,
,"December 08, 2014",Immaculate Conception Day,holiday,
,"December 25, 2014",Christmas Day ,holiday,
"Ceuta, Melilla only. Feast of Sacrifice","September 25, 2015",Eid Al Adha,regional,
Columbus Day,"October 12, 2015",Hispanic Day ,holiday,
,"November 01, 2015",All Saints Day ,holiday,
,"December 06, 2015",Constitution Day ,holiday,
"Except Cantabria, Catalonia, Galicia, Madrid, Navarra","December 07, 2015",Constitution Day (in lieu),regional,
,"December 08, 2015",Immaculate Conception Day,holiday,
,"December 25, 2015",Christmas Day ,holiday,
